Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\UZ_A_MAX11331_Daughter\Project Outputs for UZ_A_MAX11331_Daugther\Pick Place\PickPlace_UZ_A_MAX11331_Daugther_2v01.txt

========================================================================================================================
File Design Information:

Date:       21.04.21
Time:       17:24
Revision:   960d3172a432447561f6f2b9979d694950ee8413
Variant:    SMD_Assembly
Units used: mm

Designator  Footprint                     Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer    Comment                    
F3          Fiducial_1.7mm                -169.2002    0.0000       -3.5000   2.5000    -169.2002 0.0000    0        TopLayer Fiducial                   
F2          Fiducial_1.7mm                -169.2002    0.0000       -170.0000 2.5000    -169.2002 0.0000    0        TopLayer Fiducial                   
F1          Fiducial_1.7mm                -169.2002    0.0000       -170.0000 97.5000   -169.2002 0.0000    0        TopLayer Fiducial                   
C29         CAP_0603                      -150.8110    83.4390      -150.1110 83.4390   -150.1110 83.4390   270      TopLayer 1µF                        
BS5         RES_1206                      -130.1510    89.4080      -131.6510 89.4080   -131.6510 89.4080   270      TopLayer "Ferrite bead"             
BS4         RES_1206                      -129.7164    75.1586      -128.2164 75.1586   -128.2164 75.1586   90       TopLayer "Ferrite bead"             
U6          TSOP65P640X120-16N            -155.8942    17.7690      -155.8942 17.7690   -158.8442 20.0440   360      TopLayer "Quad LVDS driver"         
U9          SOIC127P600X170_HS-9N         -149.1742    78.7120      -149.1742 78.7120   -147.2692 81.4120   270      TopLayer "buck converter"           
U7          TSOP65P640X120-8N             -141.6301    51.5330      -141.6301 51.5330   -142.6052 48.6330   90       TopLayer "Clock buffer"             
U5          TSOP65P640X120-8N             -147.4722    51.5330      -147.4722 51.5330   -148.4472 48.6330   90       TopLayer "Clock buffer"             
U4          TSOP65P640X120-8N             -153.3142    51.5330      -153.3142 51.5330   -154.2892 48.6330   90       TopLayer "Clock buffer"             
U3          TSOP65P640X120-16N            -147.7662    38.7240      -147.7662 38.7240   -150.7162 40.9990   360      TopLayer "Quad LVDS reciever"       
U2D         32-TQFN-EP_(5X5)              -112.2392    20.8560      -112.2392 20.8560   -109.7642 19.1060   180      TopLayer MAX11331                   
U2C         32-TQFN-EP_(5X5)              -112.2392    42.1920      -112.2392 42.1920   -109.7642 40.4420   180      TopLayer MAX11331                   
U2B         32-TQFN-EP_(5X5)              -112.2392    63.7820      -112.2392 63.7820   -109.7642 62.0320   180      TopLayer MAX11331                   
U2A         32-TQFN-EP_(5X5)              -112.2392    84.3000      -112.2392 84.3000   -109.7642 82.5500   180      TopLayer MAX11331                   
U1H         THS4524_FOOTPRINT             -46.5882     14.5740      -46.5882  14.5740   -43.7882  10.0740   180      TopLayer THS4524                    
U1G         THS4524_FOOTPRINT             -46.5882     37.4340      -46.5882  37.4340   -43.7882  32.9340   180      TopLayer THS4524                    
U1F         THS4524_FOOTPRINT             -85.7042     14.5740      -85.7042  14.5740   -82.9042  10.0740   180      TopLayer THS4524                    
U1E         THS4524_FOOTPRINT             -85.5005     37.4860      -85.5005  37.4860   -82.7005  32.9860   180      TopLayer THS4524                    
U1D         THS4524_FOOTPRINT             -85.5762     62.7460      -85.5762  62.7460   -82.7762  58.2460   180      TopLayer THS4524                    
U1C         THS4524_FOOTPRINT             -85.5762     85.7460      -85.5762  85.7460   -82.7762  81.2460   180      TopLayer THS4524                    
U1B         THS4524_FOOTPRINT             -46.5762     62.7460      -46.5762  62.7460   -43.7762  58.2460   180      TopLayer THS4524                    
U1A         THS4524_FOOTPRINT             -46.5762     85.7460      -46.5762  85.7460   -43.7762  81.2460   180      TopLayer THS4524                    
REF1D       SOT-23-5                      -116.8232    26.8870      -116.8232 26.8870   -115.8732 28.1870   90       TopLayer "VREF 3.3V/1.65V"          
REF1C       SOT-23-5                      -116.8232    48.2230      -116.8232 48.2230   -115.8732 49.5230   90       TopLayer "VREF 3.3V/1.65V"          
REF1B       SOT-23-5                      -116.8232    69.8130      -116.8232 69.8130   -115.8732 71.1130   90       TopLayer "VREF 3.3V/1.65V"          
REF1A       SOT-23-5                      -116.8232    90.3310      -116.8232 90.3310   -115.8732 91.6310   90       TopLayer "VREF 3.3V/1.65V"          
R38         RES_0603                      -162.2982    66.5960      -162.2982 67.3960   -162.2982 67.3960   0        TopLayer 20k                        
R37         RES_0603                      -142.9401    40.2100      -142.9401 41.0100   -142.9401 41.0100   0        TopLayer 100R                       
R36         RES_0603                      -157.0990    66.4590      -157.0990 65.6590   -157.0990 65.6590   180      TopLayer 220                        
R33         RES_0603                      -152.9080    76.4158      -152.9080 77.2158   -152.9080 77.2158   360      TopLayer 38.3k                      
R32         RES_0603                      -151.7650    73.4620      -151.7650 74.2620   -151.7650 74.2620   360      TopLayer 100k                       
R31         RES_0603                      -150.3742    85.9120      -150.3742 85.1120   -150.3742 85.1120   180      TopLayer 2.2M                       
R30         RES_0603                      -141.6301    46.1610      -141.6301 46.9610   -141.6301 46.9610   360      TopLayer 10k                        
R29         RES_0603                      -147.4722    46.1610      -147.4722 46.9610   -147.4722 46.9610   360      TopLayer 10k                        
R28         RES_0603                      -153.3142    46.1610      -153.3142 46.9610   -153.3142 46.9610   360      TopLayer 10k                        
R27         RES_0603                      -142.9401    37.1620      -142.9401 36.3620   -142.9401 36.3620   180      TopLayer 100R                       
R26         RES_0603                      -152.5922    37.2380      -152.5922 36.4380   -152.5922 36.4380   180      TopLayer 100R                       
R25         RES_0603                      -152.5922    40.2100      -152.5922 41.0100   -152.5922 41.0100   0        TopLayer 100R                       
R23H        RES_0603                      -37.4122     20.8280      -38.2121  20.8280   -38.2122  20.8280   90       TopLayer 24.3k                      
R23G        RES_0603                      -37.4122     43.6880      -38.2121  43.6880   -38.2122  43.6880   90       TopLayer 24.3k                      
R23F        RES_0603                      -76.5282     20.8280      -77.3281  20.8280   -77.3282  20.8280   90       TopLayer 24.3k                      
R23E        RES_0603                      -76.2729     43.7400      -77.0729  43.7400   -77.0729  43.7400   90       TopLayer 24.3k                      
R23D        RES_0603                      -76.4002     69.0000      -77.2002  69.0000   -77.2002  69.0000   90       TopLayer 24.3k                      
R23C        RES_0603                      -76.4002     92.0000      -77.2002  92.0000   -77.2002  92.0000   90       TopLayer 24.3k                      
R23B        RES_0603                      -37.4001     69.0000      -38.2001  69.0000   -38.2002  69.0000   90       TopLayer 24.3k                      
R23A        RES_0603                      -37.4001     92.0000      -38.2001  92.0000   -38.2002  92.0000   90       TopLayer 24.3k                      
R22H        RES_0603                      -55.4682     21.0820      -56.2682  21.0820   -56.2682  21.0820   90       TopLayer 48.7                       
R22G        RES_0603                      -55.4682     43.9420      -56.2682  43.9420   -56.2682  43.9420   90       TopLayer 48.7                       
R22F        RES_0603                      -94.5842     21.0820      -95.3842  21.0820   -95.3842  21.0820   90       TopLayer 48.7                       
R22E        RES_0603                      -94.3290     43.9940      -95.1289  43.9940   -95.1289  43.9940   90       TopLayer 48.7                       
R22D        RES_0603                      -94.4562     69.2540      -95.2562  69.2540   -95.2562  69.2540   90       TopLayer 48.7                       
R22C        RES_0603                      -94.4562     92.2540      -95.2562  92.2540   -95.2562  92.2540   90       TopLayer 48.7                       
R22B        RES_0603                      -55.4562     69.2540      -56.2562  69.2540   -56.2562  69.2540   90       TopLayer 48.7                       
R22A        RES_0603                      -55.4562     92.2540      -56.2562  92.2540   -56.2562  92.2540   90       TopLayer 48.7                       
R21H        RES_1206                      -34.4531     21.4390      -34.4532  19.9390   -34.4531  19.9390   0        TopLayer 160R                       
R21G        RES_1206                      -34.4531     44.2990      -34.4532  42.7990   -34.4531  42.7990   0        TopLayer 160R                       
R21F        RES_1206                      -73.5691     21.4390      -73.5691  19.9390   -73.5691  19.9390   0        TopLayer 160R                       
R21E        RES_1206                      -73.3139     44.3510      -73.3139  42.8510   -73.3139  42.8510   0        TopLayer 160R                       
R21D        RES_1206                      -73.4411     69.6110      -73.4411  68.1110   -73.4411  68.1110   0        TopLayer 160R                       
