Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_A_MAX11331_Main\Project Outputs for UZ_A_MAX11331_Daugther\Rev03\Pick Place\Pick_and_Place_UZ_A_MAX11331_Daugther_SMD_Assembly_Rev03.csv

========================================================================================================================
File Design Information:

Date:       23.09.25
Time:       10:17
Revision:   470ac56a1b64948eab3c0e644321518805be608a
Variant:    SMD_Assembly
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"U2D","32-TQFN-EP_(5X5)","-112.2392","-112.2392","20.8560","20.8560","-109.7642","19.1060","180","MAX11331","TopLayer"
"U2C","32-TQFN-EP_(5X5)","-112.2392","-112.2392","42.1920","42.1920","-109.7642","40.4420","180","MAX11331","TopLayer"
"U2B","32-TQFN-EP_(5X5)","-112.2392","-112.2392","63.7820","63.7820","-109.7642","62.0320","180","MAX11331","TopLayer"
"U2A","32-TQFN-EP_(5X5)","-112.2392","-112.2392","84.3000","84.3000","-109.7642","82.5500","180","MAX11331","TopLayer"
"R13H","CAC-80P320X160-8N","-46.5944","-46.5944","21.6740","21.6740","-45.8944","20.3490","180","10k","TopLayer"
"R13G","CAC-80P320X160-8N","-46.5944","-46.5944","44.5340","44.5340","-45.8944","43.2090","180","10k","TopLayer"
"R13F","CAC-80P320X160-8N","-85.7104","-85.7104","21.6740","21.6740","-85.0104","20.3490","180","10k","TopLayer"
"R13E","CAC-80P320X160-8N","-85.4551","-85.4551","44.5860","44.5860","-84.7551","43.2610","180","10k","TopLayer"
"R13D","CAC-80P320X160-8N","-85.5824","-85.5824","69.8460","69.8460","-84.8824","68.5210","180","10k","TopLayer"
"R13C","CAC-80P320X160-8N","-85.5824","-85.5824","92.8460","92.8460","-84.8824","91.5210","180","10k","TopLayer"
"R13B","CAC-80P320X160-8N","-46.5824","-46.5824","69.8460","69.8460","-45.8824","68.5210","180","10k","TopLayer"
"R13A","CAC-80P320X160-8N","-46.5824","-46.5824","92.8460","92.8460","-45.8824","91.5210","180","10k","TopLayer"
"R2H","CAC-80P320X160-8N","-46.5944","-46.5944","7.4740","7.4740","-45.8944","6.1490","180","10k","TopLayer"
"R2G","CAC-80P320X160-8N","-46.5944","-46.5944","30.3340","30.3340","-45.8944","29.0090","180","10k","TopLayer"
